'	exclamation	lex112884.1_ἒ
καθολικώτερον	adjective	lex29948.1_καθολικός
καθολικὸν	adjective	lex29948.1_καθολικός
καθολικὸς	adjective	lex29948.1_καθολικός
καθολικῆς	adjective	lex29948.1_καθολικός
καθολικῶς	adjective	lex29948.1_καθολικός
καθοπλίζεται	verb	lex29958.1_καθοπλίζω
καθοπλίζονται	verb	lex29958.1_καθοπλίζω
καθοπλίσας	verb	lex29958.1_καθοπλίζω
καθοπλίσηται	verb	lex29958.1_καθοπλίζω
καθοπλίζεσθαι	verb	lex29958.1_καθοπλίζω
καθορᾶν	verb	lex29961.1_καθοράω
καθυπέρτεραι	adjective	lex29981.1_καθυπέρτερος
καθυπογράφει	verb	http://data.perseus.org/collections/_κατά-ὑπογράφω
καθόλου	adverb	lex30010.1_καθόλου
καθότι	adverb	lex30016.1_καθότι
καθύγρους	adjective	lex29210.1_κάθυγρος
καθώπλιστο	verb	lex29958.1_καθοπλίζω
καθὰ	adverb	lex29768.1_καθά
καθάπερ	adverb	lex29768.1_καθά
καθάπτει	verb	lex29772.1_καθάπτω
καθὲν	adverb	lex29788.1_καθέν
καθὲν	verb	lex29802.1_καθίημι
καθέδραν	noun	lex29783.1_καθέδρα
καθέδρας	noun	lex29783.1_καθέδρα
καθέζεσθαι	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθέζεσθαι	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζονται	verb	http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζονται	verb	http://data.perseus.org/collections/_κατά-ἕζομαι
καθήμενοι	verb	lex29201.1_κάθημαι
καθὸ	adverb	lex30008.1_καθό
καθόλου	adverb	lex30010.1_καθόλου
καθύδρου	adjective	lex29211.1_κάθυδρος
καθύδρῳ	adjective	lex29211.1_κάθυδρος
καθὼς	adverb	lex30021.1_καθώς
καθῆκον	verb	lex29795.1_καθήκω
καθῆναι	verb	http://data.perseus.org/collections/_κατά-κάθημαι
καθῆστο	verb	lex29201.1_κάθημαι
καιέτωσαν	verb	lex29728.1_καίω
καινουργίους	adjective	lex30071.1_καινούργιος
καινὰ	adjective	lex30075.1_καινός
καιομένους	verb	lex29728.1_καίω
καιροῖς	verb	lex30102.1_καιρόω
καιροῖς	noun	lex30100.1_καιρός
